ID het time_period
Danaus_plexippus_BCA_1957_01 0.00597279 1953-1959
Danaus_plexippus_CA_1938_01 0.00517648 1931-1946
Danaus_plexippus_CA_1938_02 0.00539279 1931-1946
Danaus_plexippus_CA_1938_05 0.00663985 1931-1946
Danaus_plexippus_CA_1942_01 0.00569887 1931-1946
Danaus_plexippus_CA_1956_01 0.00566996 1953-1959
Danaus_plexippus_CA_1956_03 0.00551335 1953-1959
Danaus_plexippus_CA_1956_04 0.00573833 1953-1959
Danaus_plexippus_CA_1956_05 0.00655601 1953-1959
Danaus_plexippus_CA_1956_06 0.00549851 1953-1959
Danaus_plexippus_CA_1958_01 0.00582979 1953-1959
Danaus_plexippus_CA_1969_01 0.00543317 1969-1973
Danaus_plexippus_CA_1969_02 0.00539497 1969-1973
Danaus_plexippus_CA_1969_04 0.00491081 1969-1973
Danaus_plexippus_CA_1970_01 0.00527041 1969-1973
Danaus_plexippus_CA_1971_01 0.00598976 1969-1973
Danaus_plexippus_CA_1971_02 0.00543517 1969-1973
Danaus_plexippus_CA_1972_01 0.00595666 1969-1973
Danaus_plexippus_CA_1973_01 0.00573051 1969-1973
Danaus_plexippus_CA_1973_02 0.00546963 1969-1973
Danaus_plexippus_CA_1982_01 0.00603225 1982-1988
Danaus_plexippus_CA_2023_01 0.00443626 2023-2024
Danaus_plexippus_CA_2023_02 0.00433979 2023-2024
Danaus_plexippus_CA_2023_03 0.00428749 2023-2024
Danaus_plexippus_CA_2023_04 0.00455648 2023-2024
Danaus_plexippus_CA_2023_05 0.00467881 2023-2024
Danaus_plexippus_CA_2023_06 0.00451103 2023-2024
Danaus_plexippus_CA_2023_07 0.00440021 2023-2024
Danaus_plexippus_CA_2024_01 0.0043052 2023-2024
Danaus_plexippus_CA_2024_02 0.00454438 2023-2024
Danaus_plexippus_CA_2024_03 0.00431568 2023-2024
Danaus_plexippus_FL_1972_01 0.0057813 1969-1973
Danaus_plexippus_IA_1934_01 0.00557361 1931-1946
Danaus_plexippus_IA_1956_01 0.00547706 1953-1959
Danaus_plexippus_IA_1969_01 0.00540994 1969-1973
Danaus_plexippus_IA_1969_02 0.00557775 1969-1973
Danaus_plexippus_IA_1969_03 0.00548953 1969-1973
Danaus_plexippus_IA_1969_04 0.00547456 1969-1973
Danaus_plexippus_IA_1997_01 0.00580673 1996-2003
Danaus_plexippus_IA_1997_02 0.00591397 1996-2003
Danaus_plexippus_IA_1997_03 0.00542853 1996-2003
Danaus_plexippus_IA_1997_04 0.00557787 1996-2003
Danaus_plexippus_ID_1955_01 0.00527332 1953-1959
Danaus_plexippus_ID_1955_03 0.00528797 1953-1959
Danaus_plexippus_ID_1997_01 0.00529873 1996-2003
Danaus_plexippus_ID_1997_02 0.00510668 1996-2003
Danaus_plexippus_KS_1939_01 0.00594228 1931-1946
Danaus_plexippus_KS_1939_02 0.00541687 1931-1946
Danaus_plexippus_KS_1941_01 0.00609618 1931-1946
Danaus_plexippus_KS_1954_02 0.00547563 1953-1959
Danaus_plexippus_KS_1954_03 0.0049468 1953-1959
Danaus_plexippus_KS_1954_04 0.00560949 1953-1959
Danaus_plexippus_KS_1954_05 0.00607762 1953-1959
Danaus_plexippus_KS_1957_01 0.00630943 1953-1959
Danaus_plexippus_KS_1958_01 0.00567562 1953-1959
Danaus_plexippus_KS_1969_01 0.0066558 1969-1973
Danaus_plexippus_KS_1971_01 0.00508609 1969-1973
Danaus_plexippus_KS_1973_01 0.00640948 1969-1973
Danaus_plexippus_KS_2023_01 0.00523876 2023-2024
Danaus_plexippus_KS_2023_02 0.00460392 2023-2024
Danaus_plexippus_KS_2023_03 0.00478167 2023-2024
Danaus_plexippus_KS_2023_04 0.00474748 2023-2024
Danaus_plexippus_KS_2023_05 0.00465826 2023-2024
Danaus_plexippus_KS_2023_06 0.00481789 2023-2024
Danaus_plexippus_KS_2023_07 0.00489631 2023-2024
Danaus_plexippus_KS_2023_08 0.00477735 2023-2024
Danaus_plexippus_KS_2023_09 0.00506818 2023-2024
Danaus_plexippus_KS_2023_10 0.00442668 2023-2024
Danaus_plexippus_KS_2023_11 0.00458467 2023-2024
Danaus_plexippus_KS_2023_12 0.00464098 2023-2024
Danaus_plexippus_KS_2023_13 0.0046307 2023-2024
Danaus_plexippus_KS_2023_14 0.00463518 2023-2024
Danaus_plexippus_KS_2023_15 0.00451232 2023-2024
Danaus_plexippus_KS_2023_16 0.00448087 2023-2024
Danaus_plexippus_KS_2023_17 0.00461618 2023-2024
Danaus_plexippus_KS_2023_18 0.00445225 2023-2024
Danaus_plexippus_KS_2023_19 0.00453438 2023-2024
Danaus_plexippus_KS_2023_20 0.00478579 2023-2024
Danaus_plexippus_MI_1934_01 0.00580448 1931-1946
Danaus_plexippus_MI_1934_03 0.00528996 1931-1946
Danaus_plexippus_MI_1937_01 0.00594827 1931-1946
Danaus_plexippus_MI_1956_02 0.00601106 1953-1959
Danaus_plexippus_MI_1956_03 0.00490171 1953-1959
Danaus_plexippus_MI_1969_01 0.00723404 1969-1973
Danaus_plexippus_MI_1969_02 0.00557076 1969-1973
Danaus_plexippus_MI_1971_01 0.00586888 1969-1973
Danaus_plexippus_MI_1983_01 0.00540955 1982-1988
Danaus_plexippus_MI_1983_02 0.00545018 1982-1988
Danaus_plexippus_MI_1983_03 0.00481232 1982-1988
Danaus_plexippus_MI_1985_01 0.00562025 1982-1988
Danaus_plexippus_MI_1986_01 0.00570946 1982-1988
Danaus_plexippus_MI_1987_01 0.00546704 1982-1988
Danaus_plexippus_MI_1987_02 0.00552529 1982-1988
Danaus_plexippus_MI_1987_03 0.00599831 1982-1988
Danaus_plexippus_MI_1987_04 0.00623982 1982-1988
Danaus_plexippus_MI_1987_05 0.00557503 1982-1988
Danaus_plexippus_MI_1988_01 0.00546796 1982-1988
Danaus_plexippus_MI_1997_01 0.00540894 1996-2003
Danaus_plexippus_MI_1997_02 0.00568818 1996-2003
Danaus_plexippus_MI_1997_03 0.00615354 1996-2003
Danaus_plexippus_MI_1997_04 0.00647001 1996-2003
Danaus_plexippus_MI_1997_05 0.00631862 1996-2003
Danaus_plexippus_MI_1997_06 0.00539918 1996-2003
Danaus_plexippus_MI_1998_01 0.00578875 1996-2003
Danaus_plexippus_MI_2000_01 0.00516105 1996-2003
Danaus_plexippus_MI_2000_02 0.00506698 1996-2003
Danaus_plexippus_MI_2000_03 0.00555173 1996-2003
Danaus_plexippus_MI_2001_01 0.00575 1996-2003
Danaus_plexippus_MI_2001_02 0.00547818 1996-2003
Danaus_plexippus_MI_2002_01 0.00501747 1996-2003
Danaus_plexippus_MI_2003_01 0.00475264 1996-2003
Danaus_plexippus_MN_1926_01 0.0052256 1901-1929
Danaus_plexippus_MN_1926_02 0.00604889 1901-1929
Danaus_plexippus_MN_1928_01 0.00607379 1901-1929
Danaus_plexippus_MN_1928_02 0.00575741 1901-1929
Danaus_plexippus_MN_1928_04 0.00537886 1901-1929
Danaus_plexippus_MN_1929_02 0.0043101 1901-1929
Danaus_plexippus_MN_1934_01 0.00478901 1931-1946
Danaus_plexippus_MN_1934_02 0.00581679 1931-1946
Danaus_plexippus_MN_1934_04 0.0048873 1931-1946
Danaus_plexippus_MN_1937_01 0.00540417 1931-1946
Danaus_plexippus_MN_1940_01 0.00577182 1931-1946
Danaus_plexippus_MN_1941_01 0.00528281 1931-1946
Danaus_plexippus_MN_1941_02 0.00526738 1931-1946
Danaus_plexippus_MN_1953_01 0.00622641 1953-1959
Danaus_plexippus_MN_1959_01 0.00562624 1953-1959
Danaus_plexippus_MN_1959_02 0.00546897 1953-1959
Danaus_plexippus_MN_1972_01 0.00577202 1969-1973
Danaus_plexippus_MN_1972_05 0.00616676 1969-1973
Danaus_plexippus_MN_1972_08 0.0061162 1969-1973
