# This file was produced by: bcftools roh(1.21+htslib-1.21)
# The command line was:	bcftools roh -G 30 --rec-rate 6.5788e-6 --skip-indels --AF-file /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/AF.tab.gz -O r -o /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/6x_downsampled_roh_no_trans.txt /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/6x_downsampled_no_transitions_roh_af_tag.vcf
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	Danaus_plexippus_CA_1956_05	NC_083537.1	8385718	8390920	5203	210	60.7
RG	Danaus_plexippus_CA_2023_06	NC_083537.1	5277258	5296225	18968	180	14.8
RG	Danaus_plexippus_CA_2023_07	NC_083537.1	3395175	3402823	7649	235	18.3
RG	Danaus_plexippus_CA_2023_07	NC_083537.1	4201852	4219844	17993	505	74.3
RG	Danaus_plexippus_CA_2024_01	NC_083537.1	5107544	5115025	7482	254	60.9
RG	Danaus_plexippus_CA_2024_02	NC_083537.1	337351	345363	8013	223	51.9
RG	Danaus_plexippus_ID_1997_01	NC_083537.1	5897352	5912080	14729	231	57.4
RG	Danaus_plexippus_ID_1997_01	NC_083537.1	9313409	9357316	43908	1385	95.1
RG	Danaus_plexippus_ID_1997_02	NC_083537.1	696110	713115	17006	686	80.5
RG	Danaus_plexippus_KS_2023_08	NC_083537.1	5104774	5112420	7647	197	42.0
RG	Danaus_plexippus_KS_2023_10	NC_083537.1	7886671	7894322	7652	250	56.2
RG	Danaus_plexippus_KS_2023_11	NC_083537.1	1964969	1984160	19192	569	80.3
RG	Danaus_plexippus_KS_2023_16	NC_083537.1	3015406	3026072	10667	306	73.8
RG	Danaus_plexippus_KS_2023_17	NC_083537.1	8998827	9029203	30377	1015	90.9
RG	Danaus_plexippus_KS_2023_17	NC_083537.1	9912684	9917242	4559	149	18.9
RG	Danaus_plexippus_KS_2023_20	NC_083537.1	2953938	2959196	5259	192	5.3
RG	Danaus_plexippus_MI_1997_01	NC_083537.1	5586791	5595613	8823	190	20.5
RG	Danaus_plexippus_MI_1997_01	NC_083537.1	9368927	9378926	10000	345	60.6
RG	Danaus_plexippus_MI_1997_06	NC_083537.1	7002459	7017940	15482	464	71.3
RG	Danaus_plexippus_MI_2000_03	NC_083537.1	9644798	9653640	8843	329	71.4
RG	Danaus_plexippus_MI_2002_01	NC_083537.1	148688	174353	25666	715	79.0
RG	Danaus_plexippus_MI_2002_01	NC_083537.1	8145883	8157380	11498	274	60.9
RG	Danaus_plexippus_MI_2002_01	NC_083537.1	8169589	8186028	16440	400	62.0
RG	Danaus_plexippus_NE_2024_06	NC_083537.1	8077793	8087082	9290	378	53.4
RG	Danaus_plexippus_NE_2024_07	NC_083537.1	9772175	9782715	10541	329	11.5
RG	Danaus_plexippus_NE_2024_08	NC_083537.1	10022855	10098830	75976	411	53.0
RG	Danaus_plexippus_NE_2024_11	NC_083537.1	8200833	8209154	8322	312	67.2
RG	Danaus_plexippus_NE_2024_12	NC_083537.1	390215	398219	8005	228	46.0
RG	Danaus_plexippus_NE_2024_12	NC_083537.1	5138915	5147768	8854	282	19.7
RG	Danaus_plexippus_NE_2024_12	NC_083537.1	9842842	9871174	28333	976	82.8
RG	Danaus_plexippus_NE_2024_15	NC_083537.1	3017246	3024359	7114	236	43.8
RG	Danaus_plexippus_NE_2024_15	NC_083537.1	6051273	6058829	7557	243	79.2
RG	Danaus_plexippus_NE_2024_15	NC_083537.1	8890462	8899970	9509	249	40.4
RG	Danaus_plexippus_NE_2024_15	NC_083537.1	9115267	9133112	17846	653	86.6
RG	Danaus_plexippus_NE_2024_15	NC_083537.1	9216196	9228194	11999	346	79.4
RG	Danaus_plexippus_NE_2024_16	NC_083537.1	83152	90394	7243	219	33.2
RG	Danaus_plexippus_NE_2024_17	NC_083537.1	3786173	3810128	23956	521	64.6
RG	Danaus_plexippus_NE_2024_17	NC_083537.1	3844763	3865286	20524	447	34.4
RG	Danaus_plexippus_CA_1956_04	NC_083538.1	3789066	3798038	8973	239	56.1
RG	Danaus_plexippus_CA_2023_04	NC_083538.1	3835268	3839776	4509	192	59.1
RG	Danaus_plexippus_CA_2023_06	NC_083538.1	371531	380741	9211	357	23.4
RG	Danaus_plexippus_CA_2024_02	NC_083538.1	3954418	3969646	15229	378	8.7
RG	Danaus_plexippus_ID_1997_02	NC_083538.1	2303	13634	11332	133	35.8
RG	Danaus_plexippus_KS_2023_01	NC_083538.1	5047475	5057335	9861	273	68.7
RG	Danaus_plexippus_KS_2023_02	NC_083538.1	4100289	4112185	11897	233	38.8
RG	Danaus_plexippus_KS_2023_02	NC_083538.1	7959230	7964208	4979	158	54.2
RG	Danaus_plexippus_KS_2023_02	NC_083538.1	9054794	9069762	14969	245	9.0
RG	Danaus_plexippus_KS_2023_06	NC_083538.1	2419039	2430774	11736	414	35.7
RG	Danaus_plexippus_KS_2023_07	NC_083538.1	1292592	1299574	6983	194	17.2
RG	Danaus_plexippus_KS_2023_08	NC_083538.1	3169	40874	37706	493	38.4
RG	Danaus_plexippus_KS_2023_11	NC_083538.1	3791111	3798397	7287	286	11.3
RG	Danaus_plexippus_KS_2023_13	NC_083538.1	665344	672084	6741	202	20.4
RG	Danaus_plexippus_KS_2023_15	NC_083538.1	5231	62029	56799	795	42.3
RG	Danaus_plexippus_KS_2023_15	NC_083538.1	8397967	8434973	37007	1106	91.7
RG	Danaus_plexippus_KS_2023_16	NC_083538.1	4362941	4373178	10238	423	63.7
RG	Danaus_plexippus_KS_2023_19	NC_083538.1	4329959	4354205	24247	248	57.6
RG	Danaus_plexippus_KS_2023_20	NC_083538.1	9123033	9128841	5809	143	19.7
RG	Danaus_plexippus_MI_1969_02	NC_083538.1	667066	681981	14916	408	79.8
RG	Danaus_plexippus_MI_1987_03	NC_083538.1	103772	126471	22700	394	36.7
RG	Danaus_plexippus_MI_2000_02	NC_083538.1	7304682	7312250	7569	317	65.9
RG	Danaus_plexippus_NE_2024_02	NC_083538.1	132355	172402	40048	818	57.1
RG	Danaus_plexippus_NE_2024_07	NC_083538.1	139260	168144	28885	578	35.5
RG	Danaus_plexippus_NE_2024_07	NC_083538.1	9118290	9129221	10932	195	11.6
RG	Danaus_plexippus_NE_2024_08	NC_083538.1	9018360	9063789	45430	722	45.4
RG	Danaus_plexippus_NE_2024_10	NC_083538.1	1369269	1379865	10597	213	38.8
RG	Danaus_plexippus_NE_2024_10	NC_083538.1	2365211	2370677	5467	235	9.8
RG	Danaus_plexippus_NE_2024_10	NC_083538.1	6906234	6920774	14541	414	63.3
RG	Danaus_plexippus_NE_2024_12	NC_083538.1	7547392	7559969	12578	364	80.1
RG	Danaus_plexippus_NE_2024_12	NC_083538.1	9026254	9056023	29770	559	44.8
RG	Danaus_plexippus_NE_2024_13	NC_083538.1	9109547	9129221	19675	248	58.3
RG	Danaus_plexippus_NE_2024_16	NC_083538.1	6183008	6188282	5275	215	40.2
RG	Danaus_plexippus_CA_1971_01	NC_083539.1	3990998	4012384	21387	232	15.1
RG	Danaus_plexippus_CA_1973_02	NC_083539.1	4779887	4789934	10048	262	57.9
RG	Danaus_plexippus_CA_1973_02	NC_083539.1	6762434	6772234	9801	315	59.8
RG	Danaus_plexippus_CA_2023_06	NC_083539.1	8839294	8862312	23019	540	75.1
RG	Danaus_plexippus_ID_1997_01	NC_083539.1	3103080	3107591	4512	144	11.7
RG	Danaus_plexippus_ID_1997_01	NC_083539.1	4157462	4164800	7339	152	22.3
RG	Danaus_plexippus_ID_1997_02	NC_083539.1	829629	833207	3579	119	25.2
RG	Danaus_plexippus_ID_1997_02	NC_083539.1	3647214	3654675	7462	225	12.8
RG	Danaus_plexippus_KS_2023_05	NC_083539.1	8848874	8908216	59343	1002	50.2
RG	Danaus_plexippus_KS_2023_06	NC_083539.1	938461	949096	10636	409	24.9
RG	Danaus_plexippus_KS_2023_11	NC_083539.1	5355587	5381941	26355	653	84.7
RG	Danaus_plexippus_KS_2023_13	NC_083539.1	3018490	3038323	19834	639	81.7
RG	Danaus_plexippus_KS_2023_15	NC_083539.1	759465	772754	13290	397	64.6
RG	Danaus_plexippus_KS_2023_15	NC_083539.1	782064	792169	10106	335	61.4
RG	Danaus_plexippus_KS_2023_15	NC_083539.1	8573196	8586296	13101	367	77.0
RG	Danaus_plexippus_KS_2023_18	NC_083539.1	1159074	1167607	8534	210	7.3
RG	Danaus_plexippus_KS_2023_18	NC_083539.1	1266749	1289254	22506	868	92.1
RG	Danaus_plexippus_KS_2023_19	NC_083539.1	524	20667	20144	309	15.6
RG	Danaus_plexippus_KS_2023_19	NC_083539.1	4918056	4927471	9416	399	31.1
RG	Danaus_plexippus_MI_1987_03	NC_083539.1	2404	64060	61657	942	42.8
RG	Danaus_plexippus_MI_1987_03	NC_083539.1	5953057	5966791	13735	435	62.7
RG	Danaus_plexippus_MI_1997_06	NC_083539.1	2760103	2764949	4847	170	39.0
RG	Danaus_plexippus_MI_1997_06	NC_083539.1	8907264	8917064	9801	211	15.9
RG	Danaus_plexippus_MI_2000_03	NC_083539.1	7157543	7162432	4890	210	9.5
RG	Danaus_plexippus_MN_1996_03	NC_083539.1	8889452	8913346	23895	463	68.1
RG	Danaus_plexippus_NE_2024_03	NC_083539.1	2818121	2847895	29775	248	43.4
RG	Danaus_plexippus_NE_2024_04	NC_083539.1	2359	72145	69787	1286	40.0
RG	Danaus_plexippus_NE_2024_06	NC_083539.1	7026098	7031889	5792	172	6.9
RG	Danaus_plexippus_NE_2024_06	NC_083539.1	7485166	7501801	16636	531	63.5
RG	Danaus_plexippus_NE_2024_08	NC_083539.1	5421561	5439671	18111	395	68.7
RG	Danaus_plexippus_NE_2024_10	NC_083539.1	60335	74527	14193	352	19.0
RG	Danaus_plexippus_NE_2024_13	NC_083539.1	8649639	8671169	21531	553	75.5
RG	Danaus_plexippus_NE_2024_15	NC_083539.1	1755488	1761042	5555	180	24.3
RG	Danaus_plexippus_NE_2024_15	NC_083539.1	4599839	4609203	9365	304	47.9
RG	Danaus_plexippus_NE_2024_17	NC_083539.1	5507355	5517091	9737	248	16.1
RG	Danaus_plexippus_OR_1955_01	NC_083539.1	3111164	3124392	13229	451	72.7
RG	Danaus_plexippus_OR_1955_01	NC_083539.1	5491989	5496595	4607	149	17.9
RG	Danaus_plexippus_CA_1956_05	NC_083540.1	4613280	4624264	10985	259	57.2
RG	Danaus_plexippus_CA_1971_01	NC_083540.1	5245390	5254161	8772	260	11.5
RG	Danaus_plexippus_CA_1971_01	NC_083540.1	10263590	10278057	14468	493	50.3
RG	Danaus_plexippus_CA_2023_04	NC_083540.1	3260701	3285358	24658	282	70.0
RG	Danaus_plexippus_CA_2023_04	NC_083540.1	3413657	3420241	6585	176	14.6
RG	Danaus_plexippus_CA_2023_04	NC_083540.1	3445255	3455226	9972	265	59.1
RG	Danaus_plexippus_CA_2023_04	NC_083540.1	9122442	9130298	7857	232	7.0
RG	Danaus_plexippus_CA_2024_02	NC_083540.1	5179224	5185148	5925	187	14.5
RG	Danaus_plexippus_CA_2024_02	NC_083540.1	10190278	10194760	4483	36	17.6
RG	Danaus_plexippus_CA_2024_03	NC_083540.1	3755118	3773087	17970	375	18.9
RG	Danaus_plexippus_KS_2023_02	NC_083540.1	2585613	2595150	9538	289	32.6
RG	Danaus_plexippus_KS_2023_05	NC_083540.1	9348868	9353626	4759	161	32.8
